LeedsUnited,"[u'Reid, Peter', u'Peter Reid']",21-Mar-03,10-Nov-03,234,22,6,4,12,51,36
LeedsUnited,"[u'Gray, Eddie', u'Eddie Gray']",10-Nov-03,31-May-04,203,26,6,7,13,51,30
LeedsUnited,"[u'Blackwell, Kevin', u'Kevin Blackwell']",1-Jun-04,20-Sep-06,841,115,44,37,34,117,128
LeedsUnited,"[u'Carver, John', u'John Carver']",21-Sep-06,23-Oct-06,32,5,1,0,4,17,7
LeedsUnited,"[u'Geddis, David', u'David Geddis']",24-Oct-06,24-Oct-06,0,1,0,0,1,3,1
LeedsUnited,"[u'Wise, Dennis', u'Dennis Wise']",24-Oct-06,28-Jan-08,461,68,30,12,26,78,88
LeedsUnited,"[u'Williams, Gwyn', u'Gwyn Williams']",29-Jan-08,29-Jan-08,0,1,0,0,1,1,0
LeedsUnited,"[u'McAllister, Gary', u'Gary McAllister']",30-Jan-08,21-Dec-08,326,50,25,8,17,61,84
LeedsUnited,"[u'Grayson, Simon', u'Simon Grayson']",23-Dec-08,1-Feb-12,1135,169,84,40,45,186,259
LeedsUnited,"[u'Redfearn, Neil', u'Neil Redfearn']",1-Feb-12,18-Feb-12,17,4,2,0,2,6,8
LeedsUnited,"[u'Warnock, Neil', u'Neil Warnock']",18-Feb-12,1-Apr-13,408,63,23,15,25,92,81
LeedsUnited,"[u'Redfearn, Neil', u'Neil Redfearn']",1-Apr-13,12-Apr-13,11,1,0,0,1,2,1
LeedsUnited,"[u'McDermott, Brian', u'Brian McDermott']",12-Apr-13,30-Jun-14,444,55,21,9,25,67?,63?
LeedsUnited,"[u'Hockaday, Dave', u'Dave Hockaday']",1-Jul-14,28-Aug-14,58,6,2,0,4,11,5
LeedsUnited,"[u'Redfearn, Neil', u'Neil Redfearn']",28-Aug-14,23-Sep-14,26,4,3,1,0,2,8
LeedsUnited,"[u'Milani\u010d, Darko', u'Darko Milani\u010d']",23-Sep-14,25-Oct-14,32,6,0,3,3,8,4
LeedsUnited,"[u'Redfearn, Neil', u'Neil Redfearn']",1-Nov-14,30-Jun-15,241,33,11,7,15,44,36
LeedsUnited,"[u'R\xf6sler, Uwe', u'Uwe R\xf6sler']",1-Jul-15,18-Oct-15,109,12,2,6,4,16,11
LeedsUnited,"[u'Evans, Steve', u'Steve Evans']",19-Oct-15,Present,,15,6,6,3,13,18
LeicesterCity,Brian Little,30-May-91,22-Nov-94,1272,188,81,45,62,,
LeicesterCity,"[u'Kevin MacDonald', u'\n', u'Tony McAndrew']",22-Nov-94,14-Dec-94,22,3,0,1,2,,
LeicesterCity,Mark McGhee,14-Dec-94,7-Dec-95,358,51,16,14,21,,
LeicesterCity,"[u'David Nish', u'\n', u'Chris Turner', u'\n', u'Garry Parker', u'\n', u'Steve Walsh']",7-Dec-95,21-Dec-95,14,2,1,0,1,,
LeicesterCity,Martin O'Neill,21-Dec-95,1-Jun-00,1624,222,85,67,70,,
LeicesterCity,Peter Taylor,12-Jun-00,30-Sep-01,475,54,19,9,26,,
LeicesterCity,Garry Parker,30-Sep-01,10-Oct-01,10,1,0,0,1,,
LeicesterCity,Dave Bassett,10-Oct-01,6-Apr-02,178,28,4,8,16,,
LeicesterCity,Micky Adams,7-Apr-02,11-Oct-04,918,111,41,38,32,,
LeicesterCity,"[u'Dave Bassett', u'\n', u'Howard Wilkinson']",11-Oct-04,30-Oct-04,19,4,0,4,0,,
LeicesterCity,Craig Levein,1-Nov-04,25-Jan-06,450,70,20,25,25,,
LeicesterCity,Rob Kelly,13-Feb-06,11-Apr-07,422,63,21,19,23,,
LeicesterCity,Nigel Worthington,11-Apr-07,7-May-07,26,5,2,0,3,,
LeicesterCity,Martin Allen,25-May-07,29-Aug-07,96,4,2,1,1,,
LeicesterCity,"[u'Jon Rudkin', u'\n', u'Steve Beaglehole', u'\n', u'Mike Stowell']",30-Aug-07,13-Sep-07,14,1,0,1,0,,
LeicesterCity,Gary Megson,13-Sep-07,24-Oct-07,41,9,3,4,2,,
LeicesterCity,"[u'Frank Burrows', u'\n', u'Gerry Taggart']",24-Oct-07,22-Nov-07,29,5,1,2,2,,
LeicesterCity,Ian Holloway,22-Nov-07,23-May-08,183,32,9,8,15,,
LeicesterCity,Nigel Pearson,22-Jun-08,29-Jun-10,737,107,55,30,22,,
LeicesterCity,Paulo Sousa,7-Jul-10,1-Oct-10,86,12,4,2,6,,
LeicesterCity,"[u'Chris Powell', u'\n', u'Mike Stowell']",1-Oct-10,4-Oct-10,3,1,1,0,0,,
LeicesterCity,Sven-G神ran Eriksson,4-Oct-10,24-Oct-11,385,55,24,14,17,,
LeicesterCity,"[u'Jon Rudkin', u'\n', u'Steve Beaglehole', u'\n', u'Mike Stowell']",24-Oct-11,15-Nov-11,22,3,1,0,2,,
LeicesterCity,Nigel Pearson,15-Nov-11,30-Jun-15,1323,175,80,37,58,,
LeicesterCity,Claudio Ranieri,13-Jul-15,Present,,20,13,6,1,,
Liverpool,"Souness, Graeme",16-Apr-91,28-Jan-94,1018,157,66,45,46,,
Liverpool,"Evans, Roy",31-Jan-94,12-Nov-98,1746,226,117,56,53,,
Liverpool,"Evans, Roy",16-Jul-98,12-Nov-98,119,18,7,6,5,,
Liverpool,"Houllier, G姓rard",16-Jul-98,24-May-04,2139,307,160,73,74,,
Liverpool,"Ben神tez, Rafael",16-Jun-04,3-Jun-10,2178,350,197,74,79,,
Liverpool,"Hodgson, Roy",1-Jul-10,8-Jan-11,191,31,13,8,10,,
Liverpool,"Dalglish, Kenny",8-Jan-11,16-May-12,494,74,35,17,22,,
Liverpool,Brendan Rodgers,1-Jun-12,4-Oct-15,1220,166,85,39,42,,
Liverpool,Jurgen Klopp,8-Oct-15,present,,24,12,7,5,,
ManchesterCity,"[u'Reid, Peter', u'Peter Reid']",11-Nov-90,26-Aug-93,1019,136,59,31,46,166,199
ManchesterCity,"[u'Book, Tony', u'Tony Book']",27-Aug-93,27-Aug-93,0,1,0,1,0,1,1
ManchesterCity,"[u'Horton, Brian', u'Brian Horton']",28-Aug-93,16-May-95,626,96,29,33,34,130,118
ManchesterCity,"[u'Ball, Alan', u'Alan Ball']",30-Jun-95,26-Aug-96,423,49,13,14,22,70,49
ManchesterCity,"[u'Hartford, Asa', u'Asa Hartford']",26-Aug-96,7-Oct-96,42,8,3,0,5,13,8
ManchesterCity,"[u'Coppell, Steve', u'Steve Coppell']",7-Oct-96,8-Nov-96,32,6,2,1,3,10,7
ManchesterCity,"[u'Neal, Phil', u'Phil Neal']",9-Nov-96,28-Dec-96,49,10,2,1,7,19,11
ManchesterCity,"[u'Clark, Frank', u'Frank Clark']",29-Dec-96,17-Feb-98,415,59,20,17,22,60,73
ManchesterCity,"[u'Royle, Joe', u'Joe Royle']",18-Feb-98,21-May-01,1188,171,74,46,51,192,261
ManchesterCity,"[u'Keegan, Kevin', u'Kevin Keegan']",24-May-01,11-Mar-05,1387,176,77,39,60,223,299
ManchesterCity,"[u'Pearce, Stuart', u'Stuart Pearce']",21-Mar-05,14-May-07,784,96,34,19,43,111,103
ManchesterCity,"[u'Eriksson, Sven-G\xf6ran', u'Sven-G\xf6ran Eriksson']",6-Jul-07,2-Jun-08,332,45,19,11,15,58,51
ManchesterCity,"[u'Hughes, Mark', u'Mark Hughes']",4-Jun-08,19-Dec-09,563,77,36,15,26,101,129
ManchesterCity,"[u'Mancini, Roberto', u'Roberto Mancini']",19-Dec-09,13-May-13,1241,191,113,38,40,173,360
ManchesterCity,"[u'Kidd, Brian', u'Brian Kidd']",13-May-13,14-Jun-13,32,2,1,0,1,3,4
ManchesterCity,"[u'Pellegrini, Manuel', u'Manuel Pellegrini']",14-Jun-13,Present,,135,86,18,31,143,320
ManchesterUnited,"Ferguson, Alex",6-Nov-86,19-May-13,9691,"1,500",895,338,267,"1,365","2,769"
ManchesterUnited,"Moyes, David",1-Jul-13,22-Apr-14,295,51,27,9,15,54,86
ManchesterUnited,"Giggs, Ryan",22-Apr-14,11-May-14,19,4,2,1,1,3,8
ManchesterUnited,"Gaal, Louis van",16-Jul-14,Present,,77,39,19,19,70,114
Middlesbrough,"[u'Lawrence, Lennie', u'Lennie Lawrence']",10-Jul-91,19-May-94,1044,157,61,43,53,,
Middlesbrough,"[u'Robson, Bryan', u'Bryan Robson']",1-Jun-94,6-Dec-00,2380,314,127,86,101,,
Middlesbrough,"[u'Venables, Terry', u'Terry Venables']",6-Dec-00,12-Jun-01,188,25,8,11,6,,
Middlesbrough,"[u'McClaren, Steve', u'Steve McClaren']",12-Jun-01,11-May-06,1794,250,97,60,93,,
Middlesbrough,"[u'Southgate, Gareth', u'Gareth Southgate']",7-Jun-06,20-Oct-09,1231,151,45,43,63,,
Middlesbrough,"[u'Cooper, Colin', u'Colin Cooper']",20-Oct-09,26-Oct-09,6,1,0,1,0,,
